cat,date,year,season,sex,age,age.2,toxo titer,toxo320,toxo160,fiv,felv,type,colony,catsincolony,latitude,longitude
MO-129,6/20/06,2006,dry,f,> 12 months,adult,1280,1,1,0,0,managed,54,5,36.876175,-121.6418083
MO-130,6/20/06,2006,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,54,5,36.876175,-121.6418083
MO-530,8/10/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,54,5,36.876175,-121.6418083
MO-533,8/12/08,2008,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,54,5,36.876175,-121.6418083
MO-534,8/13/08,2008,dry,m,> 12 months,adult,<40,0,0,1,1,managed,54,5,36.876175,-121.6418083
MO-384,1/13/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,55,1,36.26936111,-121.8079611
MO-159,7/11/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,56,1,36.38536389,-121.8736583
MO-092,5/19/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-118,6/12/06,2006,dry,m,> 12 months,adult,2560,1,1,0,0,managed,57,13,36.37618889,-121.855775
MO-156,7/10/06,2006,dry,f,> 12 months,adult,40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-187,8/13/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-188,8/13/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-190,8/14/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-191,8/14/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
